index,open,high,low,close,tick_volume,spread,real_volume,i,local_min,local_max,roll_vol,roll_vol_mean,roll_vol_std,last_min_price,rol_min,s_rol_min,s_rol_max,stoch,candle_side,v_pattern,v_pattern_near,ppvi,rolling_ppvi,ret_n
2018-07-05 10:45:00,74835.0,74865.0,74800.0,74820.0,1608,5,4776,243691,0,0,13708.0,16944.15,2421.2487393386136,74670.0,74670.0,74670.0,75350.0,0.22058823529411764,-1.0,0,1.0,True,1.0,-25.0
2018-07-10 11:25:00,75855.0,75855.0,75785.0,75795.0,2298,5,7968,244801,0,0,15642.0,18628.83,4504.2139760080845,75720.0,75720.0,75720.0,75980.0,0.28846153846153844,-1.0,0,1.0,True,1.0,-175.0
2018-07-10 13:49:00,75185.0,75190.0,75145.0,75170.0,564,5,1624,244945,0,0,5896.0,13411.14,2056.954550160455,75080.0,75080.0,75080.0,75455.0,0.24,-1.0,0,1.0,True,1.0,-45.0
2018-07-11 09:17:00,74455.0,74490.0,74405.0,74420.0,1187,5,3188,245205,0,0,12323.0,9093.25,1546.2994199204988,74210.0,74210.0,74210.0,75155.0,0.2222222222222222,-1.0,0,1.0,True,1.0,30.0
2018-07-11 14:15:00,74810.0,74820.0,74760.0,74790.0,1157,5,3963,245503,0,0,11855.0,13730.01,1448.9224026976428,74670.0,74670.0,74670.0,75130.0,0.2608695652173913,-1.0,0,1.0,True,1.0,230.0
2018-07-11 17:11:00,74740.0,74765.0,74645.0,74660.0,1415,5,5846,245679,0,1,12201.0,11177.06,1803.2578670731427,74575.0,74575.0,74575.0,74915.0,0.25,-1.0,0,1.0,True,1.0,10.0
2018-07-13 10:43:00,76045.0,76075.0,75945.0,75945.0,4180,5,11632,246361,0,0,22666.0,15047.85,2283.525081384763,75885.0,75885.0,75885.0,76245.0,0.16666666666666666,-1.0,0,1.0,True,1.0,5.0
2018-07-16 11:44:00,76620.0,76625.0,76525.0,76525.0,2374,5,6360,246957,0,0,11470.0,20348.17,4273.103273318751,76485.0,76485.0,76485.0,76740.0,0.1568627450980392,-1.0,0,1.0,True,1.0,70.0
2018-07-18 11:52:00,77940.0,77955.0,77890.0,77915.0,979,5,3323,248035,1,0,9439.0,20982.98,3931.509374225343,77890.0,77835.0,77835.0,78140.0,0.26229508196721313,-1.0,0,1.0,True,1.0,90.0
2018-07-19 10:59:00,76245.0,76255.0,76210.0,76230.0,932,5,2436,248517,0,0,13996.0,18504.49,3600.7684965685285,76105.0,76105.0,76105.0,76815.0,0.176056338028169,-1.0,0,1.0,True,1.0,190.0
2018-07-26 10:48:00,80365.0,80370.0,80260.0,80265.0,2125,5,6440,251175,0,0,20777.0,18167.83,3092.306516159588,80205.0,80205.0,80205.0,80620.0,0.14457831325301204,-1.0,0,1.0,True,1.0,50.0
2018-08-06 10:18:00,81570.0,81615.0,81540.0,81540.0,1976,5,6127,254888,0,0,15350.0,12216.46,843.7529692498721,81405.0,81405.0,81405.0,81900.0,0.2727272727272727,-1.0,0,1.0,True,1.0,60.0
2018-08-08 11:34:00,80530.0,80560.0,80455.0,80485.0,3642,5,11510,256034,0,0,33651.0,26280.2,4105.160659168573,80310.0,80310.0,80310.0,80980.0,0.26119402985074625,-1.0,0,1.0,True,1.0,0.0
2018-08-08 17:11:00,79070.0,79075.0,79010.0,79060.0,1617,5,6795,256371,0,0,16236.0,18309.71,3241.583481476485,78925.0,78925.0,78925.0,79395.0,0.2872340425531915,-1.0,0,1.0,True,1.0,-20.0
2018-08-10 10:35:00,77620.0,77690.0,77475.0,77505.0,3722,5,11524,257045,0,0,31144.0,19905.23,3322.067819795924,77335.0,77335.0,77335.0,77905.0,0.2982456140350877,-1.0,0,1.0,True,1.0,-200.0
2018-08-15 09:14:00,78105.0,78125.0,78065.0,78095.0,1642,5,4224,258569,0,0,11315.0,7870.86,2804.7092751499817,77875.0,77875.0,77875.0,78710.0,0.2634730538922156,-1.0,0,1.0,True,1.0,195.0
2018-08-15 11:29:00,78025.0,78040.0,77950.0,77950.0,1551,5,4304,258704,0,0,11219.0,18334.74,3394.7069224145444,77895.0,77895.0,77895.0,78245.0,0.15714285714285714,-1.0,0,1.0,True,1.0,-210.0
2018-08-17 09:25:00,76610.0,76625.0,76585.0,76590.0,676,5,1560,259650,0,0,9515.0,9393.85,1520.1130873767438,76410.0,76410.0,76410.0,77030.0,0.2903225806451613,-1.0,0,1.0,True,1.0,-10.0
2018-08-17 11:32:00,76470.0,76470.0,76405.0,76415.0,907,5,2560,259777,0,0,14846.0,20343.65,3090.7917110657213,76300.0,76300.0,76300.0,76745.0,0.25842696629213485,-1.0,0,1.0,True,1.0,-95.0
2018-08-20 11:18:00,76330.0,76345.0,76230.0,76245.0,3146,5,9782,260298,0,0,26232.0,23249.04,4597.428736343381,76125.0,76125.0,76125.0,76560.0,0.27586206896551724,-1.0,0,1.0,True,1.0,75.0
